ReagentID	Gene1	Gene2	Gene1_ensembl	Gene2_ensembl	preferredName_A	preferredName_B	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
H2BC11_H2BC4_1	H2BC11	H2BC4	ENSG00000124635	ENSG00000274290	H2BC11	H2BC4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2BC11_H2BC4_2	H2BC4	H2BC11	ENSG00000274290	ENSG00000124635	H2BC4	H2BC11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2BC21_H2BC5_1	H2BC21	H2BC5	ENSG00000184678	ENSG00000158373	H2BC21	H2BC5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2BC21_H2BC5_2	H2BC5	H2BC21	ENSG00000158373	ENSG00000184678	H2BC5	H2BC21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2BC12_H2BC21_1	H2BC12	H2BC21	ENSG00000197903	ENSG00000184678	H2BC12	H2BC21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2BC12_H2BC21_2	H2BC21	H2BC12	ENSG00000184678	ENSG00000197903	H2BC21	H2BC12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBA1B_TUBA1C_1	TUBA1B	TUBA1C	ENSG00000123416	ENSG00000167553	TUBA1B	TUBA1C	0.984	0.0	0.0	0.047	0.77	0.785	0.4	0.545
TUBA1B_TUBA1C_2	TUBA1C	TUBA1B	ENSG00000167553	ENSG00000123416	TUBA1C	TUBA1B	0.984	0.0	0.0	0.047	0.77	0.785	0.4	0.545
TUBA1A_TUBA1C_1	TUBA1A	TUBA1C	ENSG00000167552	ENSG00000167553	TUBA1A	TUBA1C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBA1A_TUBA1C_2	TUBA1C	TUBA1A	ENSG00000167553	ENSG00000167552	TUBA1C	TUBA1A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAHD2A_FAHD2B_1	FAHD2A	FAHD2B	ENSG00000115042	ENSG00000144199	FAHD2A	FAHD2B	0.729	0.0	0.0	0.047	0.128	0.698	0.0	0.05
FAHD2A_FAHD2B_2	FAHD2B	FAHD2A	ENSG00000144199	ENSG00000115042	FAHD2B	FAHD2A	0.729	0.0	0.0	0.047	0.128	0.698	0.0	0.05
ZNF417_ZNF587_1	ZNF417	ZNF587	ENSG00000173480	ENSG00000198466	ZNF417	ZNF587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF417_ZNF587_2	ZNF587	ZNF417	ENSG00000198466	ENSG00000173480	ZNF587	ZNF417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAGOH_MAGOHB_1	MAGOH	MAGOHB	ENSG00000162385	ENSG00000111196	MAGOH	MAGOHB	0.995	0.0	0.0	0.048	0.259	0.914	0.9	0.36
MAGOH_MAGOHB_2	MAGOHB	MAGOH	ENSG00000111196	ENSG00000162385	MAGOHB	MAGOH	0.995	0.0	0.0	0.048	0.259	0.914	0.9	0.36
MYL12A_MYL12B_1	MYL12A	MYL12B	ENSG00000101608	ENSG00000118680	MYL12A	MYL12B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MYL12A_MYL12B_2	MYL12B	MYL12A	ENSG00000118680	ENSG00000101608	MYL12B	MYL12A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGAP4_AGAP6_1	AGAP4	AGAP6	ENSG00000188234	ENSG00000204149	AGAP4	AGAP6	0.925	0.0	0.0	0.047	0.925	0.0	0.0	0.0
AGAP4_AGAP6_2	AGAP6	AGAP4	ENSG00000204149	ENSG00000188234	AGAP6	AGAP4	0.925	0.0	0.0	0.047	0.925	0.0	0.0	0.0
AKR1C1_AKR1C2_1	AKR1C1	AKR1C2	ENSG00000187134	ENSG00000151632	AKR1C1	AKR1C2	0.998	0.0	0.0	0.047	0.829	0.835	0.9	0.442
AKR1C1_AKR1C2_2	AKR1C2	AKR1C1	ENSG00000151632	ENSG00000187134	AKR1C2	AKR1C1	0.998	0.0	0.0	0.047	0.829	0.835	0.9	0.442
TUBG1_TUBG2_1	TUBG1	TUBG2	ENSG00000131462	ENSG00000037042	TUBG1	TUBG2	0.981	0.0	0.0	0.047	0.21	0.783	0.9	0.053
TUBG1_TUBG2_2	TUBG2	TUBG1	ENSG00000037042	ENSG00000131462	TUBG2	TUBG1	0.981	0.0	0.0	0.047	0.21	0.783	0.9	0.053
H2AZ1_H2AZ2_1	H2AZ1	H2AZ2	ENSG00000164032	ENSG00000105968	H2AZ1	H2AZ2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2AZ1_H2AZ2_2	H2AZ2	H2AZ1	ENSG00000105968	ENSG00000164032	H2AZ2	H2AZ1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2BC11_H2BC5_1	H2BC11	H2BC5	ENSG00000124635	ENSG00000158373	H2BC11	H2BC5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2BC11_H2BC5_2	H2BC5	H2BC11	ENSG00000158373	ENSG00000124635	H2BC5	H2BC11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRGAP2B_SRGAP2C_1	SRGAP2B	SRGAP2C	ENSG00000196369	ENSG00000171943	SRGAP2B	SRGAP2C	0.639	0.0	0.0	0.047	0.633	0.0	0.0	0.052
SRGAP2B_SRGAP2C_2	SRGAP2C	SRGAP2B	ENSG00000171943	ENSG00000196369	SRGAP2C	SRGAP2B	0.639	0.0	0.0	0.047	0.633	0.0	0.0	0.052
TUBB_TUBB4B_1	TUBB	TUBB4B	ENSG00000196230	ENSG00000188229	TUBB	TUBB4B	0.986	0.0	0.0	0.047	0.766	0.727	0.8	0.048
TUBB_TUBB4B_2	TUBB4B	TUBB	ENSG00000188229	ENSG00000196230	TUBB4B	TUBB	0.986	0.0	0.0	0.047	0.766	0.727	0.8	0.048
PPP2CA_PPP2CB_1	PPP2CA	PPP2CB	ENSG00000113575	ENSG00000104695	PPP2CA	PPP2CB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PPP2CA_PPP2CB_2	PPP2CB	PPP2CA	ENSG00000104695	ENSG00000113575	PPP2CB	PPP2CA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGAP4_AGAP5_1	AGAP4	AGAP5	ENSG00000188234	ENSG00000172650	AGAP4	AGAP5	0.538	0.0	0.0	0.047	0.535	0.0	0.0	0.0
AGAP4_AGAP5_2	AGAP5	AGAP4	ENSG00000172650	ENSG00000188234	AGAP5	AGAP4	0.538	0.0	0.0	0.047	0.535	0.0	0.0	0.0
UBE2D2_UBE2D3_1	UBE2D2	UBE2D3	ENSG00000131508	ENSG00000109332	UBE2D2	UBE2D3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBE2D2_UBE2D3_2	UBE2D3	UBE2D2	ENSG00000109332	ENSG00000131508	UBE2D3	UBE2D2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBB2B_TUBB4B_1	TUBB2B	TUBB4B	ENSG00000137285	ENSG00000188229	TUBB2B	TUBB4B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBB2B_TUBB4B_2	TUBB4B	TUBB2B	ENSG00000188229	ENSG00000137285	TUBB4B	TUBB2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBA1B_TUBA4A_1	TUBA1B	TUBA4A	ENSG00000123416	ENSG00000127824	TUBA1B	TUBA4A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBA1B_TUBA4A_2	TUBA4A	TUBA1B	ENSG00000127824	ENSG00000123416	TUBA4A	TUBA1B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS27_RPS27L_1	RPS27	RPS27L	ENSG00000177954	ENSG00000185088	RPS27	RPS27L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS27_RPS27L_2	RPS27L	RPS27	ENSG00000185088	ENSG00000177954	RPS27L	RPS27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBB2A_TUBB4B_1	TUBB2A	TUBB4B	ENSG00000137267	ENSG00000188229	TUBB2A	TUBB4B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBB2A_TUBB4B_2	TUBB4B	TUBB2A	ENSG00000188229	ENSG00000137267	TUBB4B	TUBB2A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGAP5_AGAP6_1	AGAP5	AGAP6	ENSG00000172650	ENSG00000204149	AGAP5	AGAP6	0.531	0.0	0.0	0.047	0.528	0.0	0.0	0.0
AGAP5_AGAP6_2	AGAP6	AGAP5	ENSG00000204149	ENSG00000172650	AGAP6	AGAP5	0.531	0.0	0.0	0.047	0.528	0.0	0.0	0.0
MZT2A_MZT2B_1	MZT2A	MZT2B	ENSG00000173272	ENSG00000152082	MZT2A	MZT2B	0.87	0.0	0.0	0.05	0.0	0.0	0.8	0.372
MZT2A_MZT2B_2	MZT2B	MZT2A	ENSG00000152082	ENSG00000173272	MZT2B	MZT2A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDX19A_DDX19B_1	DDX19A	DDX19B	ENSG00000168872	ENSG00000157349	DDX19A	DDX19B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDX19A_DDX19B_2	DDX19B	DDX19A	ENSG00000157349	ENSG00000168872	DDX19B	DDX19A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARF1_ARF3_1	ARF1	ARF3	ENSG00000143761	ENSG00000134287	ARF1	ARF3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARF1_ARF3_2	ARF3	ARF1	ENSG00000134287	ENSG00000143761	ARF3	ARF1	0.853	0.0	0.0	0.048	0.058	0.511	0.7	0.055
TUBA1A_TUBA4A_1	TUBA1A	TUBA4A	ENSG00000167552	ENSG00000127824	TUBA1A	TUBA4A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBA1A_TUBA4A_2	TUBA4A	TUBA1A	ENSG00000127824	ENSG00000167552	TUBA4A	TUBA1A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBA1C_TUBA4A_1	TUBA1C	TUBA4A	ENSG00000167553	ENSG00000127824	TUBA1C	TUBA4A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBA1C_TUBA4A_2	TUBA4A	TUBA1C	ENSG00000127824	ENSG00000167553	TUBA4A	TUBA1C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALG10_ALG10B_1	ALG10	ALG10B	ENSG00000139133	ENSG00000175548	ALG10	ALG10B	0.903	0.0	0.0	0.047	0.06	0.0	0.9	0.048
ALG10_ALG10B_2	ALG10B	ALG10	ENSG00000175548	ENSG00000139133	ALG10B	ALG10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAGEA3_MAGEA6_1	MAGEA3	MAGEA6	ENSG00000197172	ENSG00000221867	MAGEA3	MAGEA6	0.999	0.0	0.0	0.047	0.999	0.424	0.0	0.053
MAGEA3_MAGEA6_2	MAGEA6	MAGEA3	ENSG00000221867	ENSG00000197172	MAGEA6	MAGEA3	0.999	0.0	0.0	0.047	0.999	0.424	0.0	0.053
TUBB_TUBB2B_1	TUBB	TUBB2B	ENSG00000137267	ENSG00000137285	TUBB	TUBB2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBB_TUBB2B_2	TUBB2B	TUBB	ENSG00000137285	ENSG00000196230	TUBB2B	TUBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MOB1A_MOB1B_1	MOB1A	MOB1B	ENSG00000114978	ENSG00000173542	MOB1A	MOB1B	0.982	0.0	0.0	0.048	0.054	0.815	0.9	0.105
MOB1A_MOB1B_2	MOB1B	MOB1A	ENSG00000173542	ENSG00000114978	MOB1B	MOB1A	0.982	0.0	0.0	0.048	0.054	0.815	0.9	0.105
H2AC6_H2AJ_1	H2AC6	H2AJ	ENSG00000180573	ENSG00000246705	H2AC6	H2AJ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2AC6_H2AJ_2	H2AJ	H2AC6	ENSG00000246705	ENSG00000180573	H2AJ	H2AC6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBE2A_UBE2B_1	UBE2A	UBE2B	ENSG00000077721	ENSG00000119048	UBE2A	UBE2B	0.975	0.0	0.0	0.048	0.092	0.609	0.9	0.392
UBE2A_UBE2B_2	UBE2B	UBE2A	ENSG00000119048	ENSG00000077721	UBE2B	UBE2A	0.975	0.0	0.0	0.048	0.092	0.609	0.9	0.392
TUBB_TUBB2A_1	TUBB	TUBB2A	ENSG00000137267	ENSG00000137267	TUBB	TUBB2A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBB_TUBB2A_2	TUBB2A	TUBB	ENSG00000137267	ENSG00000196230	TUBB2A	TUBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRPS1_PRPS2_1	PRPS1	PRPS2	ENSG00000147224	ENSG00000101911	PRPS1	PRPS2	0.985	0.0	0.0	0.047	0.137	0.847	0.9	0.054
PRPS1_PRPS2_2	PRPS2	PRPS1	ENSG00000101911	ENSG00000147224	PRPS2	PRPS1	0.985	0.0	0.0	0.047	0.137	0.847	0.9	0.054
RBMX_RBMXL1_1	RBMX	RBMXL1	ENSG00000147274	ENSG00000213516	RBMX	RBMXL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RBMX_RBMXL1_2	RBMXL1	RBMX	ENSG00000213516	ENSG00000147274	RBMXL1	RBMX	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAP1A_RAP1B_1	RAP1A	RAP1B	ENSG00000116473	ENSG00000127314	RAP1A	RAP1B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAP1A_RAP1B_2	RAP1B	RAP1A	ENSG00000127314	ENSG00000116473	RAP1B	RAP1A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TVP23B_TVP23C_1	TVP23B	TVP23C	ENSG00000171928	ENSG00000175106	TVP23B	TVP23C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TVP23B_TVP23C_2	TVP23C	TVP23B	ENSG00000175106	ENSG00000171928	TVP23C	TVP23B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF585A_ZNF585B_1	ZNF585A	ZNF585B	ENSG00000196967	ENSG00000245680	ZNF585A	ZNF585B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF585A_ZNF585B_2	ZNF585B	ZNF585A	ENSG00000245680	ENSG00000196967	ZNF585B	ZNF585A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTA2_ACTG1_1	ACTA2	ACTG1	ENSG00000107796	ENSG00000184009	ACTA2	ACTG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTA2_ACTG1_2	ACTG1	ACTA2	ENSG00000184009	ENSG00000107796	ACTG1	ACTA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GNAI1_GNAI3_1	GNAI1	GNAI3	ENSG00000127955	ENSG00000065135	GNAI1	GNAI3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GNAI1_GNAI3_2	GNAI3	GNAI1	ENSG00000065135	ENSG00000127955	GNAI3	GNAI1	0.984	0.0	0.0	0.047	0.047	0.847	0.9	0.053
ACTA2_ACTB_1	ACTA2	ACTB	ENSG00000107796	ENSG00000075624	ACTA2	ACTB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTA2_ACTB_2	ACTB	ACTA2	ENSG00000075624	ENSG00000107796	ACTB	ACTA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SEC61A1_SEC61A2_1	SEC61A1	SEC61A2	ENSG00000058262	ENSG00000065665	SEC61A1	SEC61A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SEC61A1_SEC61A2_2	SEC61A2	SEC61A1	ENSG00000065665	ENSG00000058262	SEC61A2	SEC61A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RRAGA_RRAGB_1	RRAGA	RRAGB	ENSG00000155876	ENSG00000083750	RRAGA	RRAGB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RRAGA_RRAGB_2	RRAGB	RRAGA	ENSG00000083750	ENSG00000155876	RRAGB	RRAGA	0.999	0.0	0.0	0.047	0.06	0.994	0.9	0.884
MYL12A_MYL9_1	MYL12A	MYL9	ENSG00000101608	ENSG00000101335	MYL12A	MYL9	0.961	0.0	0.0	0.049	0.061	0.62	0.9	0.049
MYL12A_MYL9_2	MYL9	MYL12A	ENSG00000101335	ENSG00000101608	MYL9	MYL12A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DYNLL1_DYNLL2_1	DYNLL1	DYNLL2	ENSG00000088986	ENSG00000264364	DYNLL1	DYNLL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DYNLL1_DYNLL2_2	DYNLL2	DYNLL1	ENSG00000264364	ENSG00000088986	DYNLL2	DYNLL1	0.99	0.0	0.0	0.05	0.09	0.846	0.9	0.385
UBE2D2_UBE2D4_1	UBE2D2	UBE2D4	ENSG00000131508	ENSG00000078967	UBE2D2	UBE2D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBE2D2_UBE2D4_2	UBE2D4	UBE2D2	ENSG00000078967	ENSG00000131508	UBE2D4	UBE2D2	0.903	0.0	0.0	0.049	0.056	0.0	0.9	0.05
MYL12B_MYL9_1	MYL12B	MYL9	ENSG00000118680	ENSG00000101335	MYL12B	MYL9	0.96	0.0	0.0	0.048	0.044	0.616	0.9	0.052
MYL12B_MYL9_2	MYL9	MYL12B	ENSG00000101335	ENSG00000118680	MYL9	MYL12B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS4X_RPS4Y1_1	RPS4X	RPS4Y1	ENSG00000198034	ENSG00000129824	RPS4X	RPS4Y1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS4X_RPS4Y1_2	RPS4Y1	RPS4X	ENSG00000129824	ENSG00000198034	RPS4Y1	RPS4X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STAT5A_STAT5B_1	STAT5A	STAT5B	ENSG00000126561	ENSG00000173757	STAT5A	STAT5B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STAT5A_STAT5B_2	STAT5B	STAT5A	ENSG00000173757	ENSG00000126561	STAT5B	STAT5A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAB1A_RAB1B_1	RAB1A	RAB1B	ENSG00000138069	ENSG00000174903	RAB1A	RAB1B	0.991	0.0	0.0	0.048	0.128	0.856	0.9	0.373
RAB1A_RAB1B_2	RAB1B	RAB1A	ENSG00000174903	ENSG00000138069	RAB1B	RAB1A	0.991	0.0	0.0	0.048	0.128	0.856	0.9	0.373
ACOT1_ACOT2_1	ACOT1	ACOT2	ENSG00000184227	ENSG00000119673	ACOT1	ACOT2	0.976	0.0	0.0	0.047	0.419	0.624	0.9	0.053
ACOT1_ACOT2_2	ACOT2	ACOT1	ENSG00000119673	ENSG00000184227	ACOT2	ACOT1	0.976	0.0	0.0	0.047	0.419	0.624	0.9	0.053
TUBB3_TUBB4B_1	TUBB3	TUBB4B	ENSG00000258947	ENSG00000188229	TUBB3	TUBB4B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBB3_TUBB4B_2	TUBB4B	TUBB3	ENSG00000188229	ENSG00000258947	TUBB4B	TUBB3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAC1_RAC2_1	RAC1	RAC2	ENSG00000129538	ENSG00000128340	RAC1	RAC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAC1_RAC2_2	RAC2	RAC1	ENSG00000128340	ENSG00000129538	RAC2	RAC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL39_RPL39L_1	RPL39	RPL39L	ENSG00000198918	ENSG00000163923	RPL39	RPL39L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL39_RPL39L_2	RPL39L	RPL39	ENSG00000163923	ENSG00000198918	RPL39L	RPL39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EEF1A1_EEF1A2_1	EEF1A1	EEF1A2	ENSG00000156508	ENSG00000101210	EEF1A1	EEF1A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EEF1A1_EEF1A2_2	EEF1A2	EEF1A1	ENSG00000101210	ENSG00000156508	EEF1A2	EEF1A1	0.994	0.0	0.0	0.048	0.055	0.922	0.9	0.367
SUMO2_SUMO3_1	SUMO2	SUMO3	ENSG00000188612	ENSG00000184900	SUMO2	SUMO3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SUMO2_SUMO3_2	SUMO3	SUMO2	ENSG00000184900	ENSG00000188612	SUMO3	SUMO2	0.903	0.0	0.0	0.052	0.056	0.61	0.5	0.534
EIF1_EIF1B_1	EIF1	EIF1B	ENSG00000173812	ENSG00000114784	EIF1	EIF1B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EIF1_EIF1B_2	EIF1B	EIF1	ENSG00000114784	ENSG00000173812	EIF1B	EIF1	0.924	0.0	0.0	0.049	0.26	0.0	0.9	0.048
TUBB3_TUBB6_1	TUBB3	TUBB6	ENSG00000258947	ENSG00000176014	TUBB3	TUBB6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBB3_TUBB6_2	TUBB6	TUBB3	ENSG00000176014	ENSG00000258947	TUBB6	TUBB3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A5_SLC25A6_1	SLC25A5	SLC25A6	ENSG00000005022	ENSG00000169100	SLC25A5	SLC25A6	0.969	0.0	0.0	0.048	0.246	0.626	0.9	0.053
SLC25A5_SLC25A6_2	SLC25A6	SLC25A5	ENSG00000169100	ENSG00000005022	SLC25A6	SLC25A5	0.969	0.0	0.0	0.048	0.246	0.626	0.9	0.053
ARL8A_ARL8B_1	ARL8A	ARL8B	ENSG00000143862	ENSG00000134108	ARL8A	ARL8B	0.572	0.0	0.0	0.048	0.058	0.556	0.0	0.053
ARL8A_ARL8B_2	ARL8B	ARL8A	ENSG00000134108	ENSG00000143862	ARL8B	ARL8A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBE2D3_UBE2D4_1	UBE2D3	UBE2D4	ENSG00000109332	ENSG00000078967	UBE2D3	UBE2D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBE2D3_UBE2D4_2	UBE2D4	UBE2D3	ENSG00000078967	ENSG00000109332	UBE2D4	UBE2D3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MT1F_MT2A_1	MT1F	MT2A	ENSG00000198417	ENSG00000125148	MT1F	MT2A	0.772	0.0	0.0	0.053	0.764	0.0	0.0	0.063
MT1F_MT2A_2	MT2A	MT1F	ENSG00000125148	ENSG00000198417	MT2A	MT1F	0.772	0.0	0.0	0.053	0.764	0.0	0.0	0.063
TUBB_TUBB3_1	TUBB	TUBB3	ENSG00000196230	ENSG00000258947	TUBB	TUBB3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBB_TUBB3_2	TUBB3	TUBB	ENSG00000258947	ENSG00000196230	TUBB3	TUBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RHOA_RHOC_1	RHOA	RHOC	ENSG00000067560	ENSG00000155366	RHOA	RHOC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RHOA_RHOC_2	RHOC	RHOA	ENSG00000155366	ENSG00000067560	RHOC	RHOA	0.951	0.0	0.0	0.048	0.216	0.834	0.5	0.337
TUBB2B_TUBB3_1	TUBB2B	TUBB3	ENSG00000137285	ENSG00000258947	TUBB2B	TUBB3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBB2B_TUBB3_2	TUBB3	TUBB2B	ENSG00000258947	ENSG00000137285	TUBB3	TUBB2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PPP1CA_PPP1CC_1	PPP1CA	PPP1CC	ENSG00000172531	ENSG00000186298	PPP1CA	PPP1CC	0.998	0.0	0.0	0.049	0.063	0.877	0.9	0.853
PPP1CA_PPP1CC_2	PPP1CC	PPP1CA	ENSG00000186298	ENSG00000172531	PPP1CC	PPP1CA	0.998	0.0	0.0	0.049	0.063	0.877	0.9	0.853
RAP2A_RAP2C_1	RAP2A	RAP2C	ENSG00000125249	ENSG00000123728	RAP2A	RAP2C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAP2A_RAP2C_2	RAP2C	RAP2A	ENSG00000123728	ENSG00000125249	RAP2C	RAP2A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
