Class_label_sum	cell_line	condition	Gene_combination	single_gene_highist_avg_lfc	single_gene_lowest_avg_lfc	expected_combinatorial_lfc	combinatorial_avg_lfc	Euclidean_distance_expexted_observed	Euclidean_distance_singel_phenotype	highist_expression	lowest_expression	Euclidean_distance_expresstion	expre_Correlation	highist_dep	lowest_dep	Euclidean_distance_dep	dep_Correlation	highist_damage_mutation	lowest_damage_mutation	Euclidean_distance_dm	Jaccard BP Similarity	Jaccard MF Similarity	Jaccard CC Similarity	Average Wang BP Similarity	Average Wang MF Similarity	Average Wang CC Similarity	score	nscore	fscore	pscore	ascore	escore	dscore	Jaccard Index_commun_proteins	Number of Common Proteins	Class_label_exp	Class_label_dep	Class_label_corr	Class_label_neg
no GI	A375	2CP	ABI1_ABI2	-0.5564818187153537	-0.6207108961682843	-1.177192714883638	-2.0422104640471987	0.8650177491635607	0.0642290774529306	4.626714997685274	3.688640277009856	0.938074720675418	-0.0098289632601928	0.0975217349092969	-0.0536758814951617	0.1511976164044586	0.0058201803892363	0.0	0.0	0.0	0.1052631578947368	0.25	0.4545454545454545	0.1523561630590037	0.405625022472993	0.3925648507576335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	8	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABL1_ABL2	0.4549058894492421	-1.3875497461665864	-0.9326438567173443	-0.0581673178691328	0.8744765388482115	1.8424556356158286	4.719289680898572	4.255015326042789	0.4642743548557826	0.4426361130401287	0.1113832275908712	-0.0309882229312726	0.1423714505221438	0.1198615289213679	0.0	0.0	0.0	0.1240875912408759	0.3793103448275862	0.2272727272727272	0.1715392851479529	0.2613012194486269	0.4198777867468339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1764705882352941	3	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABLIM1_ABLIM3	-0.2876932344946579	-0.9558530362664108	-1.2435462707610687	-0.517566076270694	0.7259801944903748	0.6681598017717529	2.661850875480849	2.379150698194016	0.2827001772868329	0.0226551300979186	0.1297349159144351	0.0102218573017404	0.1195130586126946	-0.0814761448066484	0.0	0.0	0.0	0.375	1.0	0.5714285714285714	0.2289573296835036	0.6051435741832251	0.4030167962878282	0.935	0.0	0.0	0.0	0.057	0.0	0.9	0.5384615384615384	7	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABLIM1_DMTN	-0.2114356729593385	-0.2876932344946579	-0.4991289074539964	0.086410435820043	0.5855393432740394	0.0762575615353194	2.379150698194016	0.4115597023965776	1.9675909957974385	0.335240615347901	0.1297349159144351	0.0528451556778544	0.0768897602365806	0.0536380470564478	0.0	0.0	0.0	0.0769230769230769	0.5	0.15	0.1258016132875176	0.6089325769385756	0.3744833304343761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABR_BCR	0.1285334873512078	-0.3871235875504766	-0.2585901001992688	-0.4481550736886603	0.1895649734893915	0.5156570749016844	5.893168991569519	2.677541369361217	3.2156276222083022	0.0225065927902528	0.0680873677114513	-0.0301982980069312	0.0982856657183825	-0.0330311637443392	0.0	0.0	0.0	0.2222222222222222	0.5714285714285714	0.6666666666666666	0.1922256216841988	0.3189358459844128	0.4490649551748609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	no GI	no GI	no GI	no GI
GI	A375	2CP	ACAA1_ACAA2	0.2004376438932276	-1.9508394903688204	-1.7504018464755928	0.3110377398550916	2.0614395863306845	2.151277134262048	5.008701324113732	4.695258458498573	0.3134428656151584	0.0447241780707602	0.0987402485639787	0.084212836330273	0.0145274122337056	0.0212154965209604	0.0	0.0	0.0	0.1818181818181818	0.4166666666666667	0.0	0.300281979905015	0.3578689965962336	0.3608721263755823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5384615384615384	7	no GI	no GI	no GI	Mixed
no GI	A375	2CP	ACAA1_ACAT1	-0.3296074869564211	-1.9508394903688204	-2.2804469773252416	-2.009917687741524	0.2705292895837177	1.6212320034123993	6.116583854266991	5.008701324113732	1.107882530153259	0.0297528737921679	0.084212836330273	0.0718213479952305	0.0123914883350425	0.0704244909939258	0.0	0.0	0.0	0.0952380952380952	0.2666666666666666	0.0	0.2505634355144486	0.3412316504245802	0.3180675222387575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	5	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACAA1_ACAT2	0.905539391297711	-1.9508394903688204	-1.0453000990711094	-0.7119733941959925	0.33332670487511695	2.856378881666531	5.531868351355645	5.008701324113732	0.5231670272419136	0.1090325088187187	0.084212836330273	0.0790616847513439	0.0051511515789291	-0.0042511099119035	0.0	0.0	0.0	0.25	0.5	0.1111111111111111	0.5891291654626035	0.4670297852680336	0.3756152447666894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4285714285714285	6	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACAA1_HADHB	-0.4878376572095653	-1.9508394903688204	-2.4386771475783857	-0.8899931779147748	1.5486839696636108	1.4630018331592551	6.046138917135568	5.008701324113732	1.0374375930218367	0.2153782247466831	0.084212836330273	0.0004948180958092	0.0837180182344638	0.0435681143094045	0.0	0.0	0.0	0.2222222222222222	0.5	0.0	0.4301001320176097	0.3568496921632519	0.2701074619398953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4285714285714285	6	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACAA2_ACAT1	0.2004376438932276	-0.3296074869564211	-0.1291698430631935	-0.2934406922005914	0.16427084913739787	0.5300451308496488	6.116583854266991	4.695258458498573	1.4213253957684175	0.3358393358150218	0.0987402485639787	0.0718213479952305	0.0269189005687481	-0.0649248350626633	0.0	0.0	0.0	0.1	0.25	0.5	0.1432226317103364	0.302491193622533	0.4790187412248695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4285714285714285	6	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACAA2_ACAT2	0.905539391297711	0.2004376438932276	1.1059770351909386	0.2801027789311026	0.825874256259836	0.7051017474044834	5.531868351355645	4.695258458498573	0.836609892857072	0.2430189679856392	0.0987402485639787	0.0790616847513439	0.0196785638126348	-0.0259681544724769	0.0	0.0	0.0	0.2857142857142857	0.4444444444444444	0.2	0.2902890969669393	0.4064276713758223	0.3811354006339061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4285714285714285	6	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACAA2_HADHB	0.2004376438932276	-0.4878376572095653	-0.2874000133163377	0.0153826846810989	0.30278269799743657	0.6882753011027929	6.046138917135568	4.695258458498573	1.3508804586369951	0.0529241086250136	0.0987402485639787	0.0004948180958092	0.0982454304681695	0.0210763612899606	0.0	0.0	0.0	0.25	0.4615384615384615	0.125	0.2270847448871855	0.327854504337593	0.295391475909471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5384615384615384	7	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACAD10_ACAD11	0.0081864554758057	-0.0331117852332127	-0.024925329757406994	-0.570769843338552	0.5458445135811449	0.0412982407090184	3.7828000023381945	3.08060516914272	0.7021948331954744	0.3311855064625385	0.0316183965737856	-0.1076978663194654	0.139316262893251	0.0113251454253918	0.0	0.0	0.0	0.6666666666666666	0.5	0.25	0.8601954608721161	0.501371997624283	0.3991475107297334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4285714285714285	6	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACAD8_ACADM	0.1482906258387344	-0.6117778575073862	-0.4634872316686518	-0.6108787708720773	0.14739153920342551	0.7600684833461206	5.362003662910391	4.241533803720985	1.1204698591894058	0.2958956533456284	0.049161087820489	-0.0422840825901114	0.0914451704106004	0.0871653761532834	0.0	0.0	0.0	0.0	0.5714285714285714	0.3333333333333333	0.2311933720124301	0.44982805865981	0.4026888836192303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4285714285714285	6	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACAD8_ACADS	0.1482906258387344	-0.4042402571588641	-0.2559496313201297	0.4926296864207191	0.7485793177408488	0.5525308829975984	4.241533803720985	2.501854197307254	1.7396796064137314	0.0787042612149389	-0.0422840825901114	-0.0609753221822565	0.0186912395921451	-0.0310572509079484	0.0	0.0	0.0	0.0	0.8333333333333334	0.4	0.4257906714990229	0.4615211640773194	0.454150831504112	0.939	0.0	0.0	0.104	0.25	0.054	0.9	0.25	4	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACAD8_ACADSB	0.7117875388563817	0.1482906258387344	0.8600781646951161	0.518651042627126	0.3414271220679901	0.5634969130176473	4.241533803720985	2.8409856008375955	1.4005482028833898	0.256088086520429	-0.0422840825901114	-0.1305824521874096	0.0882983695972982	-0.0566618603281633	0.0	0.0	0.0	0.0	0.5	1.0	0.5441702292488722	0.4434710796063004	0.5919466836938303	0.955	0.0	0.0	0.115	0.259	0.248	0.9	0.3333333333333333	5	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACAD8_IVD	0.1482906258387344	-1.2886439386816273	-1.1403533128428929	-0.8226014446878849	0.317751868155008	1.4369345645203617	4.70328343475849	4.241533803720985	0.4617496310375051	0.2857455658886996	-0.0422840825901114	-0.1034960327041807	0.0612119501140693	-0.0013338138184296	0.0	0.0	0.0	0.1666666666666666	0.625	0.5	0.528941961190038	0.4351240599276773	0.4369526609421376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5384615384615384	7	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACAD9_ACADVL	-1.1055825129613452	-1.9662297458897464	-3.0718122588510917	-2.72338198703786	0.3484302718132315	0.8606472329284012	8.355520105442194	4.437796135387836	3.9177239700543582	0.1532532633161742	-0.1505003042449701	-0.5301782473592049	0.3796779431142348	0.0175001591594354	0.0	0.0	0.0	0.0	0.6	0.3333333333333333	0.2137096736579725	0.4242313932369781	0.362182807831625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACADM_ACADS	-0.4042402571588641	-0.6117778575073862	-1.0160181146662504	-0.1034423035093554	0.9125758111568949	0.20753760034852214	5.362003662910391	2.501854197307254	2.860149465603137	0.0146330205864953	0.049161087820489	-0.0609753221822565	0.1101364100027455	0.0192136423385632	0.0	0.0	0.0	0.1666666666666666	0.5	0.375	0.3134990878263424	0.4573709430321285	0.3918133621291537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	4	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACADM_ACADSB	0.7117875388563817	-0.6117778575073862	0.10000968134899546	0.2038540171040088	0.10384433575501334	1.323565396363768	5.362003662910391	2.8409856008375955	2.521018062072796	0.2852972762584038	0.049161087820489	-0.1305824521874096	0.1797435400078986	-0.0301849667635244	0.0	0.0	0.0	0.0555555555555555	0.625	0.3333333333333333	0.2839222241377404	0.4550169703300932	0.4026888836192303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	4	no GI	no GI	no GI	no GI
GI	A375	2CP	ACADM_IVD	-0.6117778575073862	-1.2886439386816273	-1.9004217961890135	-0.4115924278719844	1.488829368317029	0.6768660811742411	5.362003662910391	4.70328343475849	0.6587202281519007	0.1615103360306006	0.049161087820489	-0.1034960327041807	0.1526571205246697	0.00366772447533	0.0	0.0	0.0	0.1052631578947368	0.5555555555555556	0.4285714285714285	0.2738106041323859	0.4364557617488556	0.395509161919676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	5	no GI	no GI	no GI	Mixed
no GI	A375	2CP	ACADSB_IVD	0.7117875388563817	-1.2886439386816273	-0.5768563998252456	-0.2740535495497771	0.3028028502754685	2.000431477538009	4.70328343475849	2.8409856008375955	1.8622978339208949	0.1867315354144362	-0.1034960327041807	-0.1305824521874096	0.0270864194832289	-0.0258503863591812	0.0	0.0	0.0	0.2	0.6666666666666666	0.5	0.6081838849104034	0.4498098545299571	0.4369526609421376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	4	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACADS_ACADSB	0.7117875388563817	-0.4042402571588641	0.3075472816975176	0.0705808348315768	0.23696644686594082	1.1160277960152458	2.8409856008375955	2.501854197307254	0.3391314035303416	0.1784458258621377	-0.0609753221822565	-0.1305824521874096	0.0696071300051531	-0.1671893631035081	0.0	0.0	0.0	0.2	0.625	0.4	0.5750304019240985	0.467185897484762	0.454150831504112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5384615384615384	7	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACADS_GCDH	-0.4042402571588641	-1.738484700296586	-2.14272495745545	-1.1276317101634694	1.0150932472919805	1.3342444431377218	4.316276243776244	2.501854197307254	1.81442204646899	0.0177049612677879	0.1088929216980491	-0.0609753221822565	0.1698682438803055	-0.0465488609163181	0.0	0.0	0.0	0.125	0.5	0.4	0.4517261688938062	0.4414908374424504	0.454150831504112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1764705882352941	3	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACADS_IVD	-0.4042402571588641	-1.2886439386816273	-1.6928841958404914	-1.143880436891529	0.5490037589489625	0.8844036815227632	4.70328343475849	2.501854197307254	2.2014292374512365	0.0978422533278636	-0.0609753221822565	-0.1034960327041807	0.0425207105219242	-0.0206242166335572	0.0	0.0	0.0	0.3333333333333333	0.75	0.5	0.6082603326245185	0.4509673217727912	0.4211442371216121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	4	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACAP1_ACAP2	0.5970914916205943	-0.7013847405322515	-0.10429324891165725	-0.7352707724494865	0.6309775235378292	1.2984762321528458	3.030213018831716	1.711175246631731	1.319037772199985	0.0073988312285728	0.0018739934537362	-0.0515959411035996	0.0534699345573358	0.007683956433111	0.0	0.0	0.0	0.0	1.0	0.6666666666666666	0.2237892899310255	0.4598095042598996	0.4427361617859355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	5	no GI	no GI	no GI	no GI
no GI	A375	2CP	ACAP1_ACAP3	-0.4285256050893775	-0.7013847405322515	-1.129910345621629	-1.3781257190101233	0.2482153733884942	0.27285913544287405	3.8525591961765553	1.711175246631731	2.1413839495448244	-0.028106804219131	0.0018739934537362	-0.2112067012699806	0.2130806947237168	-0.0193751800144854	0.0	0.0	0.0	0.0	1.0	0.1666666666666666	0.1067773228431372	0.4598095042598996	0.4014583917217602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526315789473684	1	no GI	no GI	no GI	no GI
