Gene1	Gene2	detectionMethod	intraspeciesInteraction
SSBP2	SSBP3	anti tag coip	Homo sapiens
SSBP2	SSBP3	anti tag coip	Homo sapiens
CFL2	CFL1	two hybrid array	Homo sapiens
CFL1	CFL2	two hybrid prey pooling approach	Homo sapiens
CFL2	CFL1	validated two hybrid	Homo sapiens
RPS6KA3	RPS6KA1	anti tag coip	Homo sapiens
RPS6KA3	RPS6KA1	anti tag coip	Homo sapiens
VPS4A	VPS4B	anti tag coip	Homo sapiens
VPS4B	VPS4A	anti tag coip	Homo sapiens
VPS4A	VPS4B	anti tag coip	Homo sapiens
UBE2R2	CDC34	anti tag coip	Homo sapiens
CDC34	UBE2R2	anti tag coip	Homo sapiens
CAB39L	CAB39	anti tag coip	Homo sapiens
CAB39L	CAB39	anti tag coip	Homo sapiens
CAB39L	CAB39	anti tag coip	Homo sapiens
CSNK1G3	CSNK1G1	anti tag coip	Homo sapiens
CSNK1G3	CSNK1G1	anti tag coip	Homo sapiens
CSNK1G1	CSNK1G3	anti tag coip	Homo sapiens
BTN3A3	BTN3A1	anti tag coip	Homo sapiens
BTN3A3	BTN3A1	anti tag coip	Homo sapiens
BTN3A3	BTN3A1	anti tag coip	Homo sapiens
RPS6KA2	RPS6KA3	anti tag coip	Homo sapiens
RPS6KA3	RPS6KA2	pull down	Homo sapiens
RPS6KA3	RPS6KA2	anti tag coip	Homo sapiens
ARL5B	ARL5A	anti tag coip	Homo sapiens
LCP1	PLS3	anti tag coip	Homo sapiens
PLS3	LCP1	anti tag coip	Homo sapiens
LCP1	PLS3	anti tag coip	Homo sapiens
POLR2J	POLR2J2	anti tag coip	Homo sapiens
POLR2J	POLR2J2	anti tag coip	Homo sapiens
POLR2J	POLR2J2	anti tag coip	Homo sapiens
CSNK1G1	CSNK1G2	anti tag coip	Homo sapiens
CSNK1G2	CSNK1G1	pull down	Homo sapiens
CSNK1G1	CSNK1G2	pull down	Homo sapiens
CSNK1G1	CSNK1G2	anti tag coip	Homo sapiens
RAB40B	RAB40C	anti tag coip	Homo sapiens
RAB40B	RAB40C	anti tag coip	Homo sapiens
RAB40B	RAB40C	anti tag coip	Homo sapiens
RAB40B	RAB40C	anti tag coip	Homo sapiens
PPP3CC	PPP3CB	anti tag coip	Homo sapiens
PPP3CC	PPP3CB	anti tag coip	Homo sapiens
DHRS4L2	DHRS4	anti tag coip	Homo sapiens
DHRS4L2	DHRS4	anti tag coip	Homo sapiens
ZNF562	ZNF561	anti tag coip	Homo sapiens
ZNF562	ZNF561	anti tag coip	Homo sapiens
ZNF562	ZNF561	anti tag coip	Homo sapiens
CNOT6L	CNOT6	socioaffinity inference	Homo sapiens
CNOT6L	CNOT6	anti tag coip	Homo sapiens
CNOT6L	CNOT6	anti tag coip	Homo sapiens
ARF3	ARF5	anti tag coip	Homo sapiens
ARF5	ARF3	anti tag coip	Homo sapiens
ARF3	ARF4	anti tag coip	Homo sapiens
CAMK2D	CAMK2G	anti tag coip	Homo sapiens
CAMK2D	CAMK2G	anti tag coip	Homo sapiens
SNX3	SNX12	anti tag coip	Homo sapiens
SNX3	SNX12	anti tag coip	Homo sapiens
WNT5A	WNT5B	anti tag coip	Homo sapiens
WNT5A	WNT5B	anti tag coip	Homo sapiens
IMPDH2	IMPDH1	anti tag coip	Homo sapiens
IMPDH2	IMPDH1	validated two hybrid	Homo sapiens
IMPDH2	IMPDH1	two hybrid array	Homo sapiens
IMPDH2	IMPDH1	two hybrid prey pooling approach	Homo sapiens
DCUN1D1	DCUN1D2	tap	Homo sapiens
DCUN1D1	DCUN1D2	tap	Homo sapiens
NEK6	NEK7	anti tag coip	Homo sapiens
NEK7	NEK6	pull down	Homo sapiens
NEK6	NEK7	anti tag coip	Homo sapiens
NEK7	NEK6	anti tag coip	Homo sapiens
RPS6KA2	RPS6KA1	anti tag coip	Homo sapiens
RPS6KA2	RPS6KA1	anti tag coip	Homo sapiens
PITPNB	PITPNA	anti tag coip	Homo sapiens
PITPNB	PITPNA	anti tag coip	Homo sapiens
FZD7	FZD2	anti tag coip	Homo sapiens
SMURF2	SMURF1	anti tag coip	Homo sapiens
CTSV	CTSL	anti tag coip	Homo sapiens
CTSV	CTSL	anti tag coip	Homo sapiens
CTSV	CTSL	anti tag coip	Homo sapiens
SLC25A13	SLC25A12	anti tag coip	Homo sapiens
SLC25A13	SLC25A12	anti tag coip	Homo sapiens
MEIS2	MEIS1	anti tag coip	Homo sapiens
MEIS2	MEIS1	anti tag coip	Homo sapiens
ALDOC	ALDOA	anti tag coip	Homo sapiens
ALDOA	ALDOC	anti tag coip	Homo sapiens
ALDOA	ALDOC	two hybrid array	Homo sapiens
ALDOA	ALDOC	anti tag coip	Homo sapiens
ALDOC	ALDOA	anti tag coip	Homo sapiens
PBX1	PBX2	imaging technique	Homo sapiens
PTP4A2	PTP4A3	pull down	Homo sapiens
PTP4A2	PTP4A3	anti tag coip	Homo sapiens
PTP4A2	PTP4A3	anti tag coip	Homo sapiens
PAPSS1	PAPSS2	anti tag coip	Homo sapiens
PAPSS1	PAPSS2	anti tag coip	Homo sapiens
PAPSS2	PAPSS1	anti tag coip	Homo sapiens
GBP1	GBP2	anti tag coip	Homo sapiens
GBP1	GBP2	anti tag coip	Homo sapiens
GBP2	GBP1	anti tag coip	Homo sapiens
GBP2	GBP1	anti tag coip	Homo sapiens
GBP1	GBP2	anti tag coip	Homo sapiens
GBP1	GBP2	bifc	Homo sapiens
GBP2	GBP1	bifc	Homo sapiens
GBP1	GBP2	bifc	Homo sapiens
GBP2	GBP1	bifc	Homo sapiens
GBP1	GBP2	anti tag coip	Homo sapiens
GBP1	GBP2	anti tag coip	Homo sapiens
TMED9	TMED4	anti tag coip	Homo sapiens
TMED9	TMED4	anti tag coip	Homo sapiens
TMED9	TMED4	anti tag coip	Homo sapiens
ARFGEF1	ARFGEF2	anti bait coip	Homo sapiens
ARFGEF1	ARFGEF2	anti bait coip	Homo sapiens
ARFGEF2	ARFGEF1	anti bait coip	Homo sapiens
ARFGEF1	ARFGEF2	anti bait coip	Homo sapiens
ARFGEF1	ARFGEF2	anti bait coip	Homo sapiens
ARFGEF2	ARFGEF1	anti bait coip	Homo sapiens
ARFGEF1	ARFGEF2	molecular sieving	Homo sapiens
ARFGEF1	ARFGEF2	anti bait coip	Homo sapiens
FAM50A	FAM50B	anti tag coip	Homo sapiens
PTBP3	PTBP1	anti bait coip	Homo sapiens
LDHA	LDHB	anti tag coip	Homo sapiens
LDHA	LDHB	2 hybrid	Homo sapiens
ADSS2	ADSS1	anti tag coip	Homo sapiens
ADSS2	ADSS1	anti tag coip	Homo sapiens
ADSS2	ADSS1	anti tag coip	Homo sapiens
TEAD4	TEAD1	anti tag coip	Homo sapiens
PRPSAP1	PRPSAP2	anti tag coip	Homo sapiens
PRPSAP2	PRPSAP1	two hybrid array	Homo sapiens
PRPSAP2	PRPSAP1	validated two hybrid	Homo sapiens
PRPSAP2	PRPSAP1	validated two hybrid	Homo sapiens
PRPSAP1	PRPSAP2	two hybrid prey pooling approach	Homo sapiens
PRPSAP2	PRPSAP1	two hybrid prey pooling approach	Homo sapiens
PRPSAP1	PRPSAP2	two hybrid array	Homo sapiens
PRPSAP2	PRPSAP1	anti tag coip	Homo sapiens
PRPSAP1	PRPSAP2	anti tag coip	Homo sapiens
BTBD1	BTBD2	anti tag coip	Homo sapiens
BTBD1	BTBD2	fluorescence imaging	Homo sapiens
BTBD2	BTBD1	fluorescence imaging	Homo sapiens
BTBD1	BTBD2	fluorescence imaging	Homo sapiens
BTBD1	BTBD2	anti tag coip	Homo sapiens
BTBD1	BTBD2	anti tag coip	Homo sapiens
RRM2B	RRM2	anti tag coip	Homo sapiens
RRM2	RRM2B	anti tag coip	Homo sapiens
RRM2B	RRM2	anti tag coip	Homo sapiens
RRM2	RRM2B	anti tag coip	Homo sapiens
RRM2B	RRM2	anti tag coip	Homo sapiens
CTPS1	CTPS2	validated two hybrid	Homo sapiens
CTPS1	CTPS2	two hybrid array	Homo sapiens
CTPS1	CTPS2	two hybrid prey pooling approach	Homo sapiens
CTPS1	CTPS2	anti tag coip	Homo sapiens
CTPS2	CTPS1	anti tag coip	Homo sapiens
CTPS2	CTPS1	anti tag coip	Homo sapiens
PLS3	PLS1	anti tag coip	Homo sapiens
EHD4	EHD1	pull down	Homo sapiens
SEPTIN11	SEPTIN8	anti tag coip	Homo sapiens
SEPTIN8	SEPTIN11	anti tag coip	Homo sapiens
SEPTIN11	SEPTIN8	anti tag coip	Homo sapiens
SEPTIN11	SEPTIN8	anti tag coip	Homo sapiens
HLA-C	HLA-E	anti tag coip	Homo sapiens
ABHD17A	ABHD17C	anti tag coip	Homo sapiens
MAFK	MAFG	anti tag coip	Homo sapiens
MAPK14	MAPK11	2 hybrid	Homo sapiens
DNAJA4	DNAJA1	anti tag coip	Homo sapiens
PANK3	PANK2	anti tag coip	Homo sapiens
ALDH1B1	ALDH2	anti tag coip	Homo sapiens
HK1	HK2	anti tag coip	Homo sapiens
HMGB1	HMGB3	crosslink	Homo sapiens
LCP1	PLS1	anti tag coip	Homo sapiens
LCP1	PLS1	anti tag coip	Homo sapiens
PARVA	PARVB	anti tag coip	Homo sapiens
PARVA	PARVB	anti tag coip	Homo sapiens
SSBP3	SSBP4	pull down	Homo sapiens
CSTF2T	CSTF2	anti tag coip	Homo sapiens
CSTF2T	CSTF2	anti tag coip	Homo sapiens
CSTF2T	CSTF2	anti tag coip	Homo sapiens
ERLIN2	ERLIN1	pull down	Homo sapiens
ERLIN2	ERLIN1	pull down	Homo sapiens
ERLIN2	ERLIN1	tap	Homo sapiens
TLK1	TLK2	pull down	Homo sapiens
TLK2	TLK1	pull down	Homo sapiens
TLK2	TLK1	anti bait coip	Homo sapiens
TLK2	TLK1	anti tag coip	Homo sapiens
TLK2	TLK1	anti tag coip	Homo sapiens
TLK2	TLK1	pull down	Homo sapiens
TLK2	TLK1	pull down	Homo sapiens
TLK2	TLK1	proximity-dependent biotin identification	Homo sapiens
TLK2	TLK1	proximity-dependent biotin identification	Homo sapiens
TLK2	TLK1	proximity-dependent biotin identification	Homo sapiens
TLK2	TLK1	pull down	Homo sapiens
CORO1C	CORO1B	anti tag coip	Homo sapiens
CORO1B	CORO1C	anti bait coip	Homo sapiens
CORO1B	CORO1C	anti bait coip	Homo sapiens
CORO1B	CORO1C	anti tag coip	Homo sapiens
CORO1C	CORO1B	anti tag coip	Homo sapiens
CORO1C	CORO1B	anti tag coip	Homo sapiens
CORO1C	CORO1B	anti tag coip	Homo sapiens
SPIN4	SPIN1	anti tag coip	Homo sapiens
SPIN1	SPIN4	anti tag coip	Homo sapiens
ATP9A	ATP9B	anti tag coip	Homo sapiens
CAMK1D	CAMK1	anti tag coip	Homo sapiens
CAMK1	CAMK1D	pull down	Homo sapiens
CAMK1D	CAMK1	pull down	Homo sapiens
CAMK1D	CAMK1	anti tag coip	Homo sapiens
HARS2	HARS1	anti tag coip	Homo sapiens
HARS2	HARS1	anti tag coip	Homo sapiens
BZW1	BZW2	anti tag coip	Homo sapiens
BZW2	BZW1	anti tag coip	Homo sapiens
BZW1	BZW2	anti tag coip	Homo sapiens
BZW1	BZW2	anti bait coip	Homo sapiens
SSBP2	SSBP4	anti tag coip	Homo sapiens
SSBP2	SSBP4	anti tag coip	Homo sapiens
SSBP2	SSBP4	anti tag coip	Homo sapiens
VDAC2	VDAC3	crosslink	Homo sapiens
ST7L	ST7	anti tag coip	Homo sapiens
CCNYL1	CCNY	anti tag coip	Homo sapiens
CCNYL1	CCNY	anti tag coip	Homo sapiens
RAB31	RAB22A	anti tag coip	Homo sapiens
RAB31	RAB22A	anti tag coip	Homo sapiens
SAFB	SAFB2	2 hybrid	Homo sapiens
SAFB2	SAFB	anti tag coip	Homo sapiens
SAFB	SAFB2	anti tag coip	Homo sapiens
HNRNPA3	HNRNPA1L2	crosslink	Homo sapiens
CBR3	CBR1	anti tag coip	Homo sapiens
CBR3	CBR1	anti tag coip	Homo sapiens
CBR3	CBR1	anti tag coip	Homo sapiens
CBR3	CBR1	anti tag coip	Homo sapiens
DENND5A	DENND5B	anti tag coip	Homo sapiens
CLCN5	CLCN3	anti tag coip	Homo sapiens
TNFAIP1	KCTD10	validated two hybrid	Homo sapiens
KCTD10	TNFAIP1	two hybrid prey pooling approach	Homo sapiens
TNFAIP1	KCTD10	validated two hybrid	Homo sapiens
TNFAIP1	KCTD10	two hybrid prey pooling approach	Homo sapiens
TNFAIP1	KCTD10	two hybrid array	Homo sapiens
KCTD10	TNFAIP1	two hybrid array	Homo sapiens
TNFAIP1	KCTD10	anti tag coip	Homo sapiens
TNFAIP1	KCTD10	anti tag coip	Homo sapiens
TNFAIP1	KCTD10	anti tag coip	Homo sapiens
BTN3A2	BTN3A3	anti tag coip	Homo sapiens
BTN3A3	BTN3A2	anti tag coip	Homo sapiens
BTN3A2	BTN3A3	anti tag coip	Homo sapiens
EXOC6B	EXOC6	socioaffinity inference	Homo sapiens
EXOC6B	EXOC6	anti tag coip	Homo sapiens
GSTM3	GSTM4	anti tag coip	Homo sapiens
GSTM3	GSTM4	two hybrid prey pooling approach	Homo sapiens
GSTM3	GSTM4	validated two hybrid	Homo sapiens
GSTM3	GSTM4	two hybrid array	Homo sapiens
GSTM4	GSTM3	two hybrid array	Homo sapiens
GSTM3	GSTM4	anti tag coip	Homo sapiens
GSTM3	GSTM4	anti tag coip	Homo sapiens
GSTM3	GSTM4	anti tag coip	Homo sapiens
B4GALT6	B4GALT5	anti tag coip	Homo sapiens
PFKP	PFKM	anti tag coip	Homo sapiens
PFKP	PFKM	anti tag coip	Homo sapiens
SMARCD1	SMARCD3	anti tag coip	Homo sapiens
UBE2Q2	UBE2Q1	anti tag coip	Homo sapiens
UBE2Q2	UBE2Q1	anti tag coip	Homo sapiens
STAG1	STAG2	crosslink	Homo sapiens
STAG2	STAG1	tap	Homo sapiens
STAG1	STAG2	anti bait coip	Homo sapiens
STAG2	STAG1	anti bait coip	Homo sapiens
STAG1	STAG2	anti tag coip	Homo sapiens
STAG2	STAG1	anti bait coip	Homo sapiens
FAM200A	FAM200B	anti tag coip	Homo sapiens
SEPTIN10	SEPTIN11	anti tag coip	Homo sapiens
SEPTIN11	SEPTIN10	anti tag coip	Homo sapiens
SEPTIN10	SEPTIN11	anti tag coip	Homo sapiens
SEPTIN10	SEPTIN11	anti tag coip	Homo sapiens
MORF4L1	MORF4L2	anti tag coip	Homo sapiens
TFCP2	UBP1	two hybrid array	Homo sapiens
NAA15	NAA16	anti tag coip	Homo sapiens
NAA15	NAA16	anti tag coip	Homo sapiens
ASF1A	ASF1B	tap	Homo sapiens
ASF1A	ASF1B	anti tag coip	Homo sapiens
NDST2	NDST1	anti tag coip	Homo sapiens
NDST2	NDST1	anti tag coip	Homo sapiens
NDST2	NDST1	anti tag coip	Homo sapiens
YTHDF3	YTHDF1	anti tag coip	Homo sapiens
RMND5A	RMND5B	anti tag coip	Homo sapiens
RMND5A	RMND5B	socioaffinity inference	Homo sapiens
CDK16	CDK17	anti tag coip	Homo sapiens
UCK2	UCK1	anti tag coip	Homo sapiens
UCK2	UCK1	anti tag coip	Homo sapiens
UCK2	UCK1	anti tag coip	Homo sapiens
SFN	YWHAQ	anti tag coip	Homo sapiens
YWHAQ	SFN	anti tag coip	Homo sapiens
TAOK3	TAOK1	pull down	Homo sapiens
VPS26A	VPS26B	anti tag coip	Homo sapiens
SLC12A4	SLC12A7	anti tag coip	Homo sapiens
FLNA	FLNB	anti tag coip	Homo sapiens
SEPHS1	SEPHS2	anti tag coip	Homo sapiens
SEPHS1	SEPHS2	anti tag coip	Homo sapiens
GRK6	GRK5	anti tag coip	Homo sapiens
SFN	YWHAZ	anti tag coip	Homo sapiens
STRIP1	STRIP2	anti tag coip	Homo sapiens
STRIP2	STRIP1	anti tag coip	Homo sapiens
TMEM120A	TMEM120B	socioaffinity inference	Homo sapiens
TMEM120A	TMEM120B	anti tag coip	Homo sapiens
MYL6	MYL6B	anti tag coip	Homo sapiens
MYL6	MYL6B	anti tag coip	Homo sapiens
MYL6	MYL6B	anti tag coip	Homo sapiens
KLC2	KLC4	anti tag coip	Homo sapiens
KLC2	KLC4	anti tag coip	Homo sapiens
PRKAB1	PRKAB2	anti tag coip	Homo sapiens
PRKAB1	PRKAB2	anti tag coip	Homo sapiens
EVI5	EVI5L	anti tag coip	Homo sapiens
DSTN	CFL2	two hybrid prey pooling approach	Homo sapiens
DSTN	CFL2	validated two hybrid	Homo sapiens
CFL2	DSTN	two hybrid array	Homo sapiens
DSTN	CFL2	two hybrid prey pooling approach	Homo sapiens
DSTN	CFL2	validated two hybrid	Homo sapiens
DSTN	CFL2	two hybrid array	Homo sapiens
CFL2	DSTN	two hybrid array	Homo sapiens
PHKA2	PHKA1	anti tag coip	Homo sapiens
PHKA2	PHKA1	anti tag coip	Homo sapiens
PFKM	PFKL	2 hybrid	Homo sapiens
PFKM	PFKL	affinity chrom	Homo sapiens
PFKM	PFKL	affinity chrom	Homo sapiens
PFKL	PFKM	affinity chrom	Homo sapiens
