ReagentID	Gene1	Gene2	Gene1_ensembl	Gene2_ensembl	Jaccard BP Similarity	Jaccard MF Similarity	Jaccard CC Similarity	Average Wang BP Similarity	Average Wang MF Similarity	Average Wang CC Similarity
H2BC11_H2BC4_1	H2BC11	H2BC4	ENSG00000124635	ENSG00000274290	0.5454545454545454	0.6666666666666666	0.7	0.3851888240450419	0.45738495678907687	0.40720077382136044
H2BC11_H2BC4_2	H2BC4	H2BC11	ENSG00000274290	ENSG00000124635	0.5454545454545454	0.6666666666666666	0.7	0.3851888240450419	0.45738495678907687	0.40720077382136044
H2BC21_H2BC5_1	H2BC21	H2BC5	ENSG00000184678	ENSG00000158373	0.0	0.8	0.875	0.0	0.4795010686315038	0.42602957235638456
H2BC21_H2BC5_2	H2BC5	H2BC21	ENSG00000158373	ENSG00000184678	0.0	0.8	0.875	0.0	0.4795010686315038	0.42602957235638456
H2BC12_H2BC21_1	H2BC12	H2BC21	ENSG00000197903	ENSG00000184678	0.625	0.8	0.875	0.5468858392584205	0.4795010686315038	0.44242944790299515
H2BC12_H2BC21_2	H2BC21	H2BC12	ENSG00000184678	ENSG00000197903	0.625	0.8	0.875	0.5468858392584205	0.4795010686315038	0.44242944790299515
TUBA1B_TUBA1C_1	TUBA1B	TUBA1C	ENSG00000123416	ENSG00000167553	0.8571428571428571	0.5555555555555556	0.625	0.428425105361547	0.3162266767321646	0.4062683360241036
TUBA1B_TUBA1C_2	TUBA1C	TUBA1B	ENSG00000167553	ENSG00000123416	0.8571428571428571	0.5555555555555556	0.625	0.428425105361547	0.3162266767321646	0.4062683360241036
TUBA1A_TUBA1C_1	TUBA1A	TUBA1C	ENSG00000167552	ENSG00000167553	0.15	0.6666666666666666	0.3333333333333333	0.24254277537260435	0.35535797578827605	0.3433173951536698
TUBA1A_TUBA1C_2	TUBA1C	TUBA1A	ENSG00000167553	ENSG00000167552	0.15	0.6666666666666666	0.3333333333333333	0.24254277537260435	0.35535797578827605	0.3433173951536698
FAHD2A_FAHD2B_1	FAHD2A	FAHD2B	ENSG00000115042	ENSG00000144199	1.0	0.8	1.0	1.0	0.4837928227165776	1.0
FAHD2A_FAHD2B_2	FAHD2B	FAHD2A	ENSG00000144199	ENSG00000115042	1.0	0.8	1.0	1.0	0.4837928227165776	1.0
ZNF417_ZNF587_1	ZNF417	ZNF587	ENSG00000173480	ENSG00000198466	1.0	1.0	1.0	0.9682073684515522	0.39024504294348406	1.0
ZNF417_ZNF587_2	ZNF587	ZNF417	ENSG00000198466	ENSG00000173480	1.0	1.0	1.0	0.9682073684515522	0.39024504294348406	1.0
MAGOH_MAGOHB_1	MAGOH	MAGOHB	ENSG00000162385	ENSG00000111196	0.8	1.0	0.5833333333333334	0.2729597396934872	0.7035300606729178	0.35468383341615334
MAGOH_MAGOHB_2	MAGOHB	MAGOH	ENSG00000111196	ENSG00000162385	0.8	1.0	0.5833333333333334	0.2729597396934872	0.7035300606729178	0.35468383341615334
MYL12A_MYL12B_1	MYL12A	MYL12B	ENSG00000101608	ENSG00000118680	0.0	0.75	0.3333333333333333	0.09326793203952514	0.5882758897188395	0.39368106736494873
MYL12A_MYL12B_2	MYL12B	MYL12A	ENSG00000118680	ENSG00000101608	0.0	0.75	0.3333333333333333	0.09326793203952514	0.5882758897188395	0.39368106736494873
AGAP4_AGAP6_1	AGAP4	AGAP6	ENSG00000188234	ENSG00000204149	0.0	1.0	0.0	0.0	0.3538516509620589	0.0
AGAP4_AGAP6_2	AGAP6	AGAP4	ENSG00000204149	ENSG00000188234	0.0	1.0	0.0	0.0	0.3538516509620589	0.0
AKR1C1_AKR1C2_1	AKR1C1	AKR1C2	ENSG00000187134	ENSG00000151632	0.3181818181818182	0.5238095238095238	0.6666666666666666	0.1845141260599494	0.40314674422472846	0.6197497222695886
AKR1C1_AKR1C2_2	AKR1C2	AKR1C1	ENSG00000151632	ENSG00000187134	0.3181818181818182	0.5238095238095238	0.6666666666666666	0.1845141260599494	0.40314674422472846	0.6197497222695886
TUBG1_TUBG2_1	TUBG1	TUBG2	ENSG00000131462	ENSG00000037042	0.875	0.4	0.5217391304347826	0.5231912723962161	0.369308943771048	0.34578334269998
TUBG1_TUBG2_2	TUBG2	TUBG1	ENSG00000037042	ENSG00000131462	0.875	0.4	0.5217391304347826	0.5231912723962161	0.369308943771048	0.34578334269998
H2AZ1_H2AZ2_1	H2AZ1	H2AZ2	ENSG00000164032	ENSG00000105968	0.4	0.4	0.7142857142857143	0.317440083048866	0.3511750196939618	0.4017447352069719
H2AZ1_H2AZ2_2	H2AZ2	H2AZ1	ENSG00000105968	ENSG00000164032	0.4	0.4	0.7142857142857143	0.317440083048866	0.3511750196939618	0.4017447352069719
H2BC11_H2BC5_1	H2BC11	H2BC5	ENSG00000124635	ENSG00000158373	0.0	0.6666666666666666	0.6	0.0	0.44383401220078383	0.3990294517224411
H2BC11_H2BC5_2	H2BC5	H2BC11	ENSG00000158373	ENSG00000124635	0.0	0.6666666666666666	0.6	0.0	0.44383401220078383	0.3990294517224411
SRGAP2B_SRGAP2C_1	SRGAP2B	SRGAP2C	ENSG00000196369	ENSG00000171943	0.2222222222222222	0.0	1.0	0.2268237970878035	0.6479484222715302	1.0
SRGAP2B_SRGAP2C_2	SRGAP2C	SRGAP2B	ENSG00000171943	ENSG00000196369	0.2222222222222222	0.0	1.0	0.2268237970878035	0.6479484222715302	1.0
TUBB_TUBB4B_1	TUBB	TUBB4B	ENSG00000196230	ENSG00000188229	0.36363636363636365	0.46153846153846156	0.5789473684210527	0.31790243785783806	0.317105761994328	0.330929026777765
TUBB_TUBB4B_2	TUBB4B	TUBB	ENSG00000188229	ENSG00000196230	0.36363636363636365	0.46153846153846156	0.5789473684210527	0.31790243785783806	0.317105761994328	0.330929026777765
PPP2CA_PPP2CB_1	PPP2CA	PPP2CB	ENSG00000113575	ENSG00000104695	0.1935483870967742	0.6363636363636364	0.5294117647058824	0.14174467470234606	0.39023858627576224	0.35287400487136095
PPP2CA_PPP2CB_2	PPP2CB	PPP2CA	ENSG00000104695	ENSG00000113575	0.1935483870967742	0.6363636363636364	0.5294117647058824	0.14174467470234606	0.39023858627576224	0.35287400487136095
AGAP4_AGAP5_1	AGAP4	AGAP5	ENSG00000188234	ENSG00000172650	0.0	1.0	0.0	0.0	0.3538516509620589	0.0
AGAP4_AGAP5_2	AGAP5	AGAP4	ENSG00000172650	ENSG00000188234	0.0	1.0	0.0	0.0	0.3538516509620589	0.0
UBE2D2_UBE2D3_1	UBE2D2	UBE2D3	ENSG00000131508	ENSG00000109332	0.4	1.0	0.5555555555555556	0.4512875432999012	0.40999548505548655	0.34258578254465655
UBE2D2_UBE2D3_2	UBE2D3	UBE2D2	ENSG00000109332	ENSG00000131508	0.4	1.0	0.5555555555555556	0.4512875432999012	0.40999548505548655	0.34258578254465655
TUBB2B_TUBB4B_1	TUBB2B	TUBB4B	ENSG00000137285	ENSG00000188229	0.2727272727272727	0.5555555555555556	0.4666666666666667	0.23951812512297535	0.3018892315520992	0.3511187667574157
TUBB2B_TUBB4B_2	TUBB4B	TUBB2B	ENSG00000188229	ENSG00000137285	0.2727272727272727	0.5555555555555556	0.4666666666666667	0.23951812512297535	0.3018892315520992	0.3511187667574157
TUBA1B_TUBA4A_1	TUBA1B	TUBA4A	ENSG00000123416	ENSG00000127824	0.5714285714285714	0.4	0.5	0.4486658328227905	0.2931429987585315	0.40740612434639206
TUBA1B_TUBA4A_2	TUBA4A	TUBA1B	ENSG00000127824	ENSG00000123416	0.5714285714285714	0.4	0.5	0.4486658328227905	0.2931429987585315	0.40740612434639206
RPS27_RPS27L_1	RPS27	RPS27L	ENSG00000177954	ENSG00000185088	0.2	0.5	0.36363636363636365	0.15264317539815095	0.35106806282399056	0.34928261448343495
RPS27_RPS27L_2	RPS27L	RPS27	ENSG00000185088	ENSG00000177954	0.2	0.5	0.36363636363636365	0.15264317539815095	0.35106806282399056	0.34928261448343495
TUBB2A_TUBB4B_1	TUBB2A	TUBB4B	ENSG00000137267	ENSG00000188229	0.5	0.625	0.6428571428571429	0.3808184109705459	0.2996763048694032	0.3593972672968842
TUBB2A_TUBB4B_2	TUBB4B	TUBB2A	ENSG00000188229	ENSG00000137267	0.5	0.625	0.6428571428571429	0.3808184109705459	0.2996763048694032	0.3593972672968842
AGAP5_AGAP6_1	AGAP5	AGAP6	ENSG00000172650	ENSG00000204149	0.0	1.0	0.0	0.0	0.3538516509620589	0.0
AGAP5_AGAP6_2	AGAP6	AGAP5	ENSG00000204149	ENSG00000172650	0.0	1.0	0.0	0.0	0.3538516509620589	0.0
MZT2A_MZT2B_1	MZT2A	MZT2B	ENSG00000173272	ENSG00000152082	0.0	1.0	1.0	0.0	1.0	0.447978145884393
MZT2A_MZT2B_2	MZT2B	MZT2A	ENSG00000152082	ENSG00000173272	0.0	1.0	1.0	0.0	1.0	0.447978145884393
DDX19A_DDX19B_1	DDX19A	DDX19B	ENSG00000168872	ENSG00000157349	0.2	0.9	0.625	0.29744950513553836	0.33943960025825776	0.4248839736208566
DDX19A_DDX19B_2	DDX19B	DDX19A	ENSG00000157349	ENSG00000168872	0.2	0.9	0.625	0.29744950513553836	0.33943960025825776	0.4248839736208566
ARF1_ARF3_1	ARF1	ARF3	ENSG00000143761	ENSG00000134287	0.2727272727272727	0.42857142857142855	0.25	0.26397436076841707	0.3282477881818594	0.3896777937677963
ARF1_ARF3_2	ARF3	ARF1	ENSG00000134287	ENSG00000143761	0.2727272727272727	0.42857142857142855	0.25	0.26397436076841707	0.3282477881818594	0.3896777937677963
TUBA1A_TUBA4A_1	TUBA1A	TUBA4A	ENSG00000167552	ENSG00000127824	0.1	0.5	0.35294117647058826	0.24767082682443248	0.3381745063971364	0.3530838614108757
TUBA1A_TUBA4A_2	TUBA4A	TUBA1A	ENSG00000127824	ENSG00000167552	0.1	0.5	0.35294117647058826	0.24767082682443248	0.3381745063971364	0.3530838614108757
TUBA1C_TUBA4A_1	TUBA1C	TUBA4A	ENSG00000167553	ENSG00000127824	0.6666666666666666	0.7142857142857143	0.36363636363636365	0.5079129091989177	0.34151164905241643	0.3813434594232089
TUBA1C_TUBA4A_2	TUBA4A	TUBA1C	ENSG00000127824	ENSG00000167553	0.6666666666666666	0.7142857142857143	0.36363636363636365	0.5079129091989177	0.34151164905241643	0.3813434594232089
ALG10_ALG10B_1	ALG10	ALG10B	ENSG00000139133	ENSG00000175548	1.0	1.0	0.6	0.6133370281698365	0.55585582114212	0.5321057697969533
ALG10_ALG10B_2	ALG10B	ALG10	ENSG00000175548	ENSG00000139133	1.0	1.0	0.6	0.6133370281698365	0.55585582114212	0.5321057697969533
MAGEA3_MAGEA6_1	MAGEA3	MAGEA6	ENSG00000197172	ENSG00000221867	0.4	0.5	0.3333333333333333	0.42722230882616347	0.6297042247773973	0.5668183464343833
MAGEA3_MAGEA6_2	MAGEA6	MAGEA3	ENSG00000221867	ENSG00000197172	0.4	0.5	0.3333333333333333	0.42722230882616347	0.6297042247773973	0.5668183464343833
TUBB_TUBB2B_1	TUBB	TUBB2B	ENSG00000137267	ENSG00000137285	0.1875	0.4166666666666667	0.4117647058823529	0.2225837001755823	0.31320909961904286	0.3551550226739144
TUBB_TUBB2B_2	TUBB2B	TUBB	ENSG00000137285	ENSG00000196230	0.1875	0.4166666666666667	0.4117647058823529	0.2225837001755823	0.31320909961904286	0.3551550226739144
MOB1A_MOB1B_1	MOB1A	MOB1B	ENSG00000114978	ENSG00000173542	0.5	0.6666666666666666	1.0	0.6113249487034631	0.42381747479824355	0.5165174628220691
MOB1A_MOB1B_2	MOB1B	MOB1A	ENSG00000173542	ENSG00000114978	0.5	0.6666666666666666	1.0	0.6113249487034631	0.42381747479824355	0.5165174628220691
H2AC6_H2AJ_1	H2AC6	H2AJ	ENSG00000180573	ENSG00000246705	0.14285714285714285	0.8333333333333334	0.8333333333333334	0.18190065595776608	0.42749173148992065	0.43566936454240773
H2AC6_H2AJ_2	H2AJ	H2AC6	ENSG00000246705	ENSG00000180573	0.14285714285714285	0.8333333333333334	0.8333333333333334	0.18190065595776608	0.42749173148992065	0.43566936454240773
UBE2A_UBE2B_1	UBE2A	UBE2B	ENSG00000077721	ENSG00000119048	0.3235294117647059	0.875	0.25	0.17916243064252627	0.37611517300069947	0.3510315090331548
UBE2A_UBE2B_2	UBE2B	UBE2A	ENSG00000119048	ENSG00000077721	0.3235294117647059	0.875	0.25	0.17916243064252627	0.37611517300069947	0.3510315090331548
TUBB_TUBB2A_1	TUBB	TUBB2A	ENSG00000137267	ENSG00000137267	0.2727272727272727	0.45454545454545453	0.47058823529411764	0.33500846468907874	0.3055793965228541	0.34656406928328715
TUBB_TUBB2A_2	TUBB2A	TUBB	ENSG00000137267	ENSG00000196230	0.2727272727272727	0.45454545454545453	0.47058823529411764	0.33500846468907874	0.3055793965228541	0.34656406928328715
PRPS1_PRPS2_1	PRPS1	PRPS2	ENSG00000147224	ENSG00000101911	0.35714285714285715	0.8888888888888888	0.75	0.4237158551979176	0.35066974982606613	0.5125039156311998
PRPS1_PRPS2_2	PRPS2	PRPS1	ENSG00000101911	ENSG00000147224	0.35714285714285715	0.8888888888888888	0.75	0.4237158551979176	0.35066974982606613	0.5125039156311998
RBMX_RBMXL1_1	RBMX	RBMXL1	ENSG00000147274	ENSG00000213516	0.25	0.25	0.2727272727272727	0.25823348563197435	0.5797322358152766	0.3917394105458765
RBMX_RBMXL1_2	RBMXL1	RBMX	ENSG00000213516	ENSG00000147274	0.25	0.25	0.2727272727272727	0.25823348563197435	0.5797322358152766	0.3917394105458765
RAP1A_RAP1B_1	RAP1A	RAP1B	ENSG00000116473	ENSG00000127314	0.32	0.8	0.3333333333333333	0.18844097573055593	0.3208489365183798	0.3697034942491628
RAP1A_RAP1B_2	RAP1B	RAP1A	ENSG00000127314	ENSG00000116473	0.32	0.8	0.3333333333333333	0.18844097573055593	0.3208489365183798	0.3697034942491628
TVP23B_TVP23C_1	TVP23B	TVP23C	ENSG00000171928	ENSG00000175106	1.0	0.0	1.0	0.6925468502079849	0.0	0.8009554140127388
TVP23B_TVP23C_2	TVP23C	TVP23B	ENSG00000175106	ENSG00000171928	1.0	0.0	1.0	0.6925468502079849	0.0	0.8009554140127388
ZNF585A_ZNF585B_1	ZNF585A	ZNF585B	ENSG00000196967	ENSG00000245680	1.0	1.0	1.0	0.8400322970968676	0.3930307818636276	1.0
ZNF585A_ZNF585B_2	ZNF585B	ZNF585A	ENSG00000245680	ENSG00000196967	1.0	1.0	1.0	0.8400322970968676	0.3930307818636276	1.0
ACTA2_ACTG1_1	ACTA2	ACTG1	ENSG00000107796	ENSG00000184009	0.03333333333333333	0.4444444444444444	0.18181818181818182	0.11019025721574176	0.3534694258788559	0.3151003375071912
ACTA2_ACTG1_2	ACTG1	ACTA2	ENSG00000184009	ENSG00000107796	0.03333333333333333	0.4444444444444444	0.18181818181818182	0.11019025721574176	0.3534694258788559	0.3151003375071912
GNAI1_GNAI3_1	GNAI1	GNAI3	ENSG00000127955	ENSG00000065135	0.2777777777777778	0.6153846153846154	0.6470588235294118	0.29566067605805113	0.3107234516008047	0.3722066225248516
GNAI1_GNAI3_2	GNAI3	GNAI1	ENSG00000065135	ENSG00000127955	0.2777777777777778	0.6153846153846154	0.6470588235294118	0.29566067605805113	0.3107234516008047	0.3722066225248516
ACTA2_ACTB_1	ACTA2	ACTB	ENSG00000107796	ENSG00000075624	0.0	0.3076923076923077	0.16	0.12617593199796445	0.3188650895854788	0.2870363089678862
ACTA2_ACTB_2	ACTB	ACTA2	ENSG00000075624	ENSG00000107796	0.0	0.3076923076923077	0.16	0.12617593199796445	0.3188650895854788	0.2870363089678862
SEC61A1_SEC61A2_1	SEC61A1	SEC61A2	ENSG00000058262	ENSG00000065665	0.25	0.6666666666666666	1.0	0.38841104260455234	0.37350818862676793	0.44872162567795243
SEC61A1_SEC61A2_2	SEC61A2	SEC61A1	ENSG00000065665	ENSG00000058262	0.25	0.6666666666666666	1.0	0.38841104260455234	0.37350818862676793	0.44872162567795243
RRAGA_RRAGB_1	RRAGA	RRAGB	ENSG00000155876	ENSG00000083750	0.4375	0.36363636363636365	0.7	0.22789675645485538	0.3031613381358921	0.3581200896683514
RRAGA_RRAGB_2	RRAGB	RRAGA	ENSG00000083750	ENSG00000155876	0.4375	0.36363636363636365	0.7	0.22789675645485538	0.3031613381358921	0.3581200896683514
MYL12A_MYL9_1	MYL12A	MYL9	ENSG00000101608	ENSG00000101335	0.3333333333333333	0.6	0.2727272727272727	0.394924093350902	0.5080422098943053	0.36735542841351176
MYL12A_MYL9_2	MYL9	MYL12A	ENSG00000101335	ENSG00000101608	0.3333333333333333	0.6	0.2727272727272727	0.394924093350902	0.5080422098943053	0.36735542841351176
DYNLL1_DYNLL2_1	DYNLL1	DYNLL2	ENSG00000088986	ENSG00000264364	0.09090909090909091	0.2	0.5	0.2720552964513287	0.5190045494230551	0.30021215976975285
DYNLL1_DYNLL2_2	DYNLL2	DYNLL1	ENSG00000264364	ENSG00000088986	0.09090909090909091	0.2	0.5	0.2720552964513287	0.5190045494230551	0.30021215976975285
UBE2D2_UBE2D4_1	UBE2D2	UBE2D4	ENSG00000131508	ENSG00000078967	0.36363636363636365	0.875	0.3333333333333333	0.6693475295013296	0.39836176360741193	0.35632129039249166
UBE2D2_UBE2D4_2	UBE2D4	UBE2D2	ENSG00000078967	ENSG00000131508	0.36363636363636365	0.875	0.3333333333333333	0.6693475295013296	0.39836176360741193	0.35632129039249166
MYL12B_MYL9_1	MYL12B	MYL9	ENSG00000118680	ENSG00000101335	0.0	0.8	0.5714285714285714	0.14231809152852826	0.4876977402803787	0.3645657475193424
MYL12B_MYL9_2	MYL9	MYL12B	ENSG00000101335	ENSG00000118680	0.0	0.8	0.5714285714285714	0.14231809152852826	0.4876977402803787	0.3645657475193424
RPS4X_RPS4Y1_1	RPS4X	RPS4Y1	ENSG00000198034	ENSG00000129824	0.2	0.75	0.4375	0.43295062402929335	0.5348763706406576	0.350957894153594
RPS4X_RPS4Y1_2	RPS4Y1	RPS4X	ENSG00000129824	ENSG00000198034	0.2	0.75	0.4375	0.43295062402929335	0.5348763706406576	0.350957894153594
STAT5A_STAT5B_1	STAT5A	STAT5B	ENSG00000126561	ENSG00000173757	0.18666666666666668	0.4166666666666667	1.0	0.17433796022405204	0.3631156149456912	0.48197995409293487
STAT5A_STAT5B_2	STAT5B	STAT5A	ENSG00000173757	ENSG00000126561	0.18666666666666668	0.4166666666666667	1.0	0.17433796022405204	0.3631156149456912	0.48197995409293487
RAB1A_RAB1B_1	RAB1A	RAB1B	ENSG00000138069	ENSG00000174903	0.47368421052631576	0.8571428571428571	0.4117647058823529	0.2287341364190085	0.3602617934357587	0.393328556567744
RAB1A_RAB1B_2	RAB1B	RAB1A	ENSG00000174903	ENSG00000138069	0.47368421052631576	0.8571428571428571	0.4117647058823529	0.2287341364190085	0.3602617934357587	0.393328556567744
ACOT1_ACOT2_1	ACOT1	ACOT2	ENSG00000184227	ENSG00000119673	1.0	1.0	0.4	0.704883658889784	0.5611216394629845	0.43707242349806785
ACOT1_ACOT2_2	ACOT2	ACOT1	ENSG00000119673	ENSG00000184227	1.0	1.0	0.4	0.704883658889784	0.5611216394629845	0.43707242349806785
TUBB3_TUBB4B_1	TUBB3	TUBB4B	ENSG00000258947	ENSG00000188229	0.3	0.5	0.34782608695652173	0.3108888361578751	0.31069089895219154	0.32876216575063416
TUBB3_TUBB4B_2	TUBB4B	TUBB3	ENSG00000188229	ENSG00000258947	0.3	0.5	0.34782608695652173	0.3108888361578751	0.31069089895219154	0.32876216575063416
RAC1_RAC2_1	RAC1	RAC2	ENSG00000129538	ENSG00000128340	0.14925373134328357	0.2727272727272727	0.3333333333333333	0.1819455849657541	0.2880924117051598	0.30812307461380095
RAC1_RAC2_2	RAC2	RAC1	ENSG00000128340	ENSG00000129538	0.14925373134328357	0.2727272727272727	0.3333333333333333	0.1819455849657541	0.2880924117051598	0.30812307461380095
RPL39_RPL39L_1	RPL39	RPL39L	ENSG00000198918	ENSG00000163923	0.14285714285714285	0.3333333333333333	0.5714285714285714	0.21029726428422668	0.4625677032000217	0.39943216833586337
RPL39_RPL39L_2	RPL39L	RPL39	ENSG00000163923	ENSG00000198918	0.14285714285714285	0.3333333333333333	0.5714285714285714	0.21029726428422668	0.4625677032000217	0.39943216833586337
EEF1A1_EEF1A2_1	EEF1A1	EEF1A2	ENSG00000156508	ENSG00000101210	0.375	0.45454545454545453	0.2222222222222222	0.2294493390183614	0.3136480306928883	0.32935033902578004
EEF1A1_EEF1A2_2	EEF1A2	EEF1A1	ENSG00000101210	ENSG00000156508	0.375	0.45454545454545453	0.2222222222222222	0.2294493390183614	0.3136480306928883	0.32935033902578004
SUMO2_SUMO3_1	SUMO2	SUMO3	ENSG00000188612	ENSG00000184900	0.25	0.6	0.6	0.21259333610024966	0.516399773986186	0.5024474474914141
SUMO2_SUMO3_2	SUMO3	SUMO2	ENSG00000184900	ENSG00000188612	0.25	0.6	0.6	0.21259333610024966	0.516399773986186	0.5024474474914141
EIF1_EIF1B_1	EIF1	EIF1B	ENSG00000173812	ENSG00000114784	0.75	0.8	0.16666666666666666	0.3739306527215401	0.49860258542489966	0.4290648257313528
EIF1_EIF1B_2	EIF1B	EIF1	ENSG00000114784	ENSG00000173812	0.75	0.8	0.16666666666666666	0.3739306527215401	0.49860258542489966	0.4290648257313528
TUBB3_TUBB6_1	TUBB3	TUBB6	ENSG00000258947	ENSG00000176014	0.5	0.625	0.5294117647058824	0.4152736064494114	0.322451500572907	0.36139606045528083
TUBB3_TUBB6_2	TUBB6	TUBB3	ENSG00000176014	ENSG00000258947	0.5	0.625	0.5294117647058824	0.4152736064494114	0.322451500572907	0.36139606045528083
SLC25A5_SLC25A6_1	SLC25A5	SLC25A6	ENSG00000005022	ENSG00000169100	0.25	0.3333333333333333	0.4444444444444444	0.22377141549828963	0.3322240984568944	0.3605369842885118
SLC25A5_SLC25A6_2	SLC25A6	SLC25A5	ENSG00000169100	ENSG00000005022	0.25	0.3333333333333333	0.4444444444444444	0.22377141549828963	0.3322240984568944	0.3605369842885118
ARL8A_ARL8B_1	ARL8A	ARL8B	ENSG00000143862	ENSG00000134108	0.2222222222222222	0.625	0.7142857142857143	0.25864122392647176	0.34955097729494644	0.33890548886765276
ARL8A_ARL8B_2	ARL8B	ARL8A	ENSG00000134108	ENSG00000143862	0.2222222222222222	0.625	0.7142857142857143	0.25864122392647176	0.34955097729494644	0.33890548886765276
UBE2D3_UBE2D4_1	UBE2D3	UBE2D4	ENSG00000109332	ENSG00000078967	0.3333333333333333	0.875	0.25	0.45581503025415687	0.39836176360741193	0.30715024238640337
UBE2D3_UBE2D4_2	UBE2D4	UBE2D3	ENSG00000078967	ENSG00000109332	0.3333333333333333	0.875	0.25	0.45581503025415687	0.39836176360741193	0.30715024238640337
MT1F_MT2A_1	MT1F	MT2A	ENSG00000198417	ENSG00000125148	0.6666666666666666	1.0	0.6666666666666666	0.2770102906041278	0.6479032419622525	0.5925146376481395
MT1F_MT2A_2	MT2A	MT1F	ENSG00000125148	ENSG00000198417	0.6666666666666666	1.0	0.6666666666666666	0.2770102906041278	0.6479032419622525	0.5925146376481395
TUBB_TUBB3_1	TUBB	TUBB3	ENSG00000196230	ENSG00000258947	0.2857142857142857	0.38461538461538464	0.32	0.29788746872070104	0.3245494356335918	0.3325598423239309
TUBB_TUBB3_2	TUBB3	TUBB	ENSG00000258947	ENSG00000196230	0.2857142857142857	0.38461538461538464	0.32	0.29788746872070104	0.3245494356335918	0.3325598423239309
RHOA_RHOC_1	RHOA	RHOC	ENSG00000067560	ENSG00000155366	0.09876543209876543	0.5714285714285714	0.25	0.16207072043587117	0.34535373773834255	0.36923543096486927
RHOA_RHOC_2	RHOC	RHOA	ENSG00000155366	ENSG00000067560	0.09876543209876543	0.5714285714285714	0.25	0.16207072043587117	0.34535373773834255	0.36923543096486927
TUBB2B_TUBB3_1	TUBB2B	TUBB3	ENSG00000137285	ENSG00000258947	0.21428571428571427	0.625	0.3888888888888889	0.24537502693995655	0.31750462030116444	0.35813905231675813
TUBB2B_TUBB3_2	TUBB3	TUBB2B	ENSG00000258947	ENSG00000137285	0.21428571428571427	0.625	0.3888888888888889	0.24537502693995655	0.31750462030116444	0.35813905231675813
PPP1CA_PPP1CC_1	PPP1CA	PPP1CC	ENSG00000172531	ENSG00000186298	0.23076923076923078	0.5	0.36666666666666664	0.15920728748730897	0.3174352736727851	0.3499294341855187
PPP1CA_PPP1CC_2	PPP1CC	PPP1CA	ENSG00000186298	ENSG00000172531	0.23076923076923078	0.5	0.36666666666666664	0.15920728748730897	0.3174352736727851	0.3499294341855187
RAP2A_RAP2C_1	RAP2A	RAP2C	ENSG00000125249	ENSG00000123728	0.2222222222222222	0.7777777777777778	0.47058823529411764	0.1967289692300334	0.32195121905142227	0.38234900152420553
RAP2A_RAP2C_2	RAP2C	RAP2A	ENSG00000123728	ENSG00000125249	0.2222222222222222	0.7777777777777778	0.47058823529411764	0.1967289692300334	0.32195121905142227	0.38234900152420553
